"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","log.Sepal.Length","dev","dev.sq"
"1",5.1,3.5,1.4,0.2,"setosa",1.62924053973028,-0.743333333333334,0.552544444444446
"2",4.9,3,1.4,0.2,"setosa",1.58923520511658,-0.943333333333333,0.889877777777778
"3",4.7,3.2,1.3,0.2,"setosa",1.54756250871601,-1.14333333333333,1.30721111111111
"4",4.6,3.1,1.5,0.2,"setosa",1.52605630349505,-1.24333333333333,1.54587777777778
"5",5,3.6,1.4,0.2,"setosa",1.6094379124341,-0.843333333333334,0.711211111111112
"6",5.4,3.9,1.7,0.4,"setosa",1.68639895357023,-0.443333333333333,0.196544444444444
"7",4.6,3.4,1.4,0.3,"setosa",1.52605630349505,-1.24333333333333,1.54587777777778
"8",5,3.4,1.5,0.2,"setosa",1.6094379124341,-0.843333333333334,0.711211111111112
"9",4.4,2.9,1.4,0.2,"setosa",1.48160454092422,-1.44333333333333,2.08321111111111
"10",4.9,3.1,1.5,0.1,"setosa",1.58923520511658,-0.943333333333333,0.889877777777778
"11",5.4,3.7,1.5,0.2,"setosa",1.68639895357023,-0.443333333333333,0.196544444444444
"12",4.8,3.4,1.6,0.2,"setosa",1.56861591791385,-1.04333333333333,1.08854444444445
"13",4.8,3,1.4,0.1,"setosa",1.56861591791385,-1.04333333333333,1.08854444444445
"14",4.3,3,1.1,0.1,"setosa",1.45861502269952,-1.54333333333333,2.38187777777778
"15",5.8,4,1.2,0.2,"setosa",1.75785791755237,-0.0433333333333339,0.00187777777777783
"16",5.7,4.4,1.5,0.4,"setosa",1.7404661748405,-0.143333333333334,0.0205444444444445
"17",5.4,3.9,1.3,0.4,"setosa",1.68639895357023,-0.443333333333333,0.196544444444444
"18",5.1,3.5,1.4,0.3,"setosa",1.62924053973028,-0.743333333333334,0.552544444444446
"19",5.7,3.8,1.7,0.3,"setosa",1.7404661748405,-0.143333333333334,0.0205444444444445
"20",5.1,3.8,1.5,0.3,"setosa",1.62924053973028,-0.743333333333334,0.552544444444446
"21",5.4,3.4,1.7,0.2,"setosa",1.68639895357023,-0.443333333333333,0.196544444444444
"22",5.1,3.7,1.5,0.4,"setosa",1.62924053973028,-0.743333333333334,0.552544444444446
"23",4.6,3.6,1,0.2,"setosa",1.52605630349505,-1.24333333333333,1.54587777777778
"24",5.1,3.3,1.7,0.5,"setosa",1.62924053973028,-0.743333333333334,0.552544444444446
"25",4.8,3.4,1.9,0.2,"setosa",1.56861591791385,-1.04333333333333,1.08854444444445
"26",5,3,1.6,0.2,"setosa",1.6094379124341,-0.843333333333334,0.711211111111112
"27",5,3.4,1.6,0.4,"setosa",1.6094379124341,-0.843333333333334,0.711211111111112
"28",5.2,3.5,1.5,0.2,"setosa",1.64865862558738,-0.643333333333334,0.413877777777778
"29",5.2,3.4,1.4,0.2,"setosa",1.64865862558738,-0.643333333333334,0.413877777777778
"30",4.7,3.2,1.6,0.2,"setosa",1.54756250871601,-1.14333333333333,1.30721111111111
"31",4.8,3.1,1.6,0.2,"setosa",1.56861591791385,-1.04333333333333,1.08854444444445
"32",5.4,3.4,1.5,0.4,"setosa",1.68639895357023,-0.443333333333333,0.196544444444444
"33",5.2,4.1,1.5,0.1,"setosa",1.64865862558738,-0.643333333333334,0.413877777777778
"34",5.5,4.2,1.4,0.2,"setosa",1.70474809223843,-0.343333333333334,0.117877777777778
"35",4.9,3.1,1.5,0.2,"setosa",1.58923520511658,-0.943333333333333,0.889877777777778
"36",5,3.2,1.2,0.2,"setosa",1.6094379124341,-0.843333333333334,0.711211111111112
"37",5.5,3.5,1.3,0.2,"setosa",1.70474809223843,-0.343333333333334,0.117877777777778
"38",4.9,3.6,1.4,0.1,"setosa",1.58923520511658,-0.943333333333333,0.889877777777778
"39",4.4,3,1.3,0.2,"setosa",1.48160454092422,-1.44333333333333,2.08321111111111
"40",5.1,3.4,1.5,0.2,"setosa",1.62924053973028,-0.743333333333334,0.552544444444446
"41",5,3.5,1.3,0.3,"setosa",1.6094379124341,-0.843333333333334,0.711211111111112
"42",4.5,2.3,1.3,0.3,"setosa",1.50407739677627,-1.34333333333333,1.80454444444445
"43",4.4,3.2,1.3,0.2,"setosa",1.48160454092422,-1.44333333333333,2.08321111111111
"44",5,3.5,1.6,0.6,"setosa",1.6094379124341,-0.843333333333334,0.711211111111112
"45",5.1,3.8,1.9,0.4,"setosa",1.62924053973028,-0.743333333333334,0.552544444444446
"46",4.8,3,1.4,0.3,"setosa",1.56861591791385,-1.04333333333333,1.08854444444445
"47",5.1,3.8,1.6,0.2,"setosa",1.62924053973028,-0.743333333333334,0.552544444444446
"48",4.6,3.2,1.4,0.2,"setosa",1.52605630349505,-1.24333333333333,1.54587777777778
"49",5.3,3.7,1.5,0.2,"setosa",1.66770682055808,-0.543333333333334,0.295211111111112
"50",5,3.3,1.4,0.2,"setosa",1.6094379124341,-0.843333333333334,0.711211111111112
"51",7,3.2,4.7,1.4,"versicolor",1.94591014905531,1.15666666666667,1.33787777777778
"52",6.4,3.2,4.5,1.5,"versicolor",1.85629799036563,0.556666666666667,0.309877777777778
"53",6.9,3.1,4.9,1.5,"versicolor",1.93152141160321,1.05666666666667,1.11654444444444
"54",5.5,2.3,4,1.3,"versicolor",1.70474809223843,-0.343333333333334,0.117877777777778
"55",6.5,2.8,4.6,1.5,"versicolor",1.87180217690159,0.656666666666666,0.431211111111111
"56",5.7,2.8,4.5,1.3,"versicolor",1.7404661748405,-0.143333333333334,0.0205444444444445
"57",6.3,3.3,4.7,1.6,"versicolor",1.84054963339749,0.456666666666666,0.208544444444444
"58",4.9,2.4,3.3,1,"versicolor",1.58923520511658,-0.943333333333333,0.889877777777778
"59",6.6,2.9,4.6,1.3,"versicolor",1.88706964903238,0.756666666666666,0.572544444444443
"60",5.2,2.7,3.9,1.4,"versicolor",1.64865862558738,-0.643333333333334,0.413877777777778
"61",5,2,3.5,1,"versicolor",1.6094379124341,-0.843333333333334,0.711211111111112
"62",5.9,3,4.2,1.5,"versicolor",1.77495235091167,0.0566666666666666,0.00321111111111111
"63",6,2.2,4,1,"versicolor",1.79175946922805,0.156666666666666,0.0245444444444443
"64",6.1,2.9,4.7,1.4,"versicolor",1.80828877117927,0.256666666666666,0.0658777777777774
"65",5.6,2.9,3.6,1.3,"versicolor",1.7227665977411,-0.243333333333334,0.0592111111111115
"66",6.7,3.1,4.4,1.4,"versicolor",1.90210752639692,0.856666666666666,0.733877777777777
"67",5.6,3,4.5,1.5,"versicolor",1.7227665977411,-0.243333333333334,0.0592111111111115
"68",5.8,2.7,4.1,1,"versicolor",1.75785791755237,-0.0433333333333339,0.00187777777777783
"69",6.2,2.2,4.5,1.5,"versicolor",1.82454929205105,0.356666666666666,0.127211111111111
"70",5.6,2.5,3.9,1.1,"versicolor",1.7227665977411,-0.243333333333334,0.0592111111111115
"71",5.9,3.2,4.8,1.8,"versicolor",1.77495235091167,0.0566666666666666,0.00321111111111111
"72",6.1,2.8,4,1.3,"versicolor",1.80828877117927,0.256666666666666,0.0658777777777774
"73",6.3,2.5,4.9,1.5,"versicolor",1.84054963339749,0.456666666666666,0.208544444444444
"74",6.1,2.8,4.7,1.2,"versicolor",1.80828877117927,0.256666666666666,0.0658777777777774
"75",6.4,2.9,4.3,1.3,"versicolor",1.85629799036563,0.556666666666667,0.309877777777778
"76",6.6,3,4.4,1.4,"versicolor",1.88706964903238,0.756666666666666,0.572544444444443
"77",6.8,2.8,4.8,1.4,"versicolor",1.91692261218206,0.956666666666666,0.91521111111111
"78",6.7,3,5,1.7,"versicolor",1.90210752639692,0.856666666666666,0.733877777777777
"79",6,2.9,4.5,1.5,"versicolor",1.79175946922805,0.156666666666666,0.0245444444444443
"80",5.7,2.6,3.5,1,"versicolor",1.7404661748405,-0.143333333333334,0.0205444444444445
"81",5.5,2.4,3.8,1.1,"versicolor",1.70474809223843,-0.343333333333334,0.117877777777778
"82",5.5,2.4,3.7,1,"versicolor",1.70474809223843,-0.343333333333334,0.117877777777778
"83",5.8,2.7,3.9,1.2,"versicolor",1.75785791755237,-0.0433333333333339,0.00187777777777783
"84",6,2.7,5.1,1.6,"versicolor",1.79175946922805,0.156666666666666,0.0245444444444443
"85",5.4,3,4.5,1.5,"versicolor",1.68639895357023,-0.443333333333333,0.196544444444444
"86",6,3.4,4.5,1.6,"versicolor",1.79175946922805,0.156666666666666,0.0245444444444443
"87",6.7,3.1,4.7,1.5,"versicolor",1.90210752639692,0.856666666666666,0.733877777777777
"88",6.3,2.3,4.4,1.3,"versicolor",1.84054963339749,0.456666666666666,0.208544444444444
"89",5.6,3,4.1,1.3,"versicolor",1.7227665977411,-0.243333333333334,0.0592111111111115
"90",5.5,2.5,4,1.3,"versicolor",1.70474809223843,-0.343333333333334,0.117877777777778
"91",5.5,2.6,4.4,1.2,"versicolor",1.70474809223843,-0.343333333333334,0.117877777777778
"92",6.1,3,4.6,1.4,"versicolor",1.80828877117927,0.256666666666666,0.0658777777777774
"93",5.8,2.6,4,1.2,"versicolor",1.75785791755237,-0.0433333333333339,0.00187777777777783
"94",5,2.3,3.3,1,"versicolor",1.6094379124341,-0.843333333333334,0.711211111111112
"95",5.6,2.7,4.2,1.3,"versicolor",1.7227665977411,-0.243333333333334,0.0592111111111115
"96",5.7,3,4.2,1.2,"versicolor",1.7404661748405,-0.143333333333334,0.0205444444444445
"97",5.7,2.9,4.2,1.3,"versicolor",1.7404661748405,-0.143333333333334,0.0205444444444445
"98",6.2,2.9,4.3,1.3,"versicolor",1.82454929205105,0.356666666666666,0.127211111111111
"99",5.1,2.5,3,1.1,"versicolor",1.62924053973028,-0.743333333333334,0.552544444444446
"100",5.7,2.8,4.1,1.3,"versicolor",1.7404661748405,-0.143333333333334,0.0205444444444445
"101",6.3,3.3,6,2.5,"virginica",1.84054963339749,0.456666666666666,0.208544444444444
"102",5.8,2.7,5.1,1.9,"virginica",1.75785791755237,-0.0433333333333339,0.00187777777777783
"103",7.1,3,5.9,2.1,"virginica",1.96009478404727,1.25666666666667,1.57921111111111
"104",6.3,2.9,5.6,1.8,"virginica",1.84054963339749,0.456666666666666,0.208544444444444
"105",6.5,3,5.8,2.2,"virginica",1.87180217690159,0.656666666666666,0.431211111111111
"106",7.6,3,6.6,2.1,"virginica",2.02814824729229,1.75666666666667,3.08587777777778
"107",4.9,2.5,4.5,1.7,"virginica",1.58923520511658,-0.943333333333333,0.889877777777778
"108",7.3,2.9,6.3,1.8,"virginica",1.98787434815435,1.45666666666667,2.12187777777778
"109",6.7,2.5,5.8,1.8,"virginica",1.90210752639692,0.856666666666666,0.733877777777777
"110",7.2,3.6,6.1,2.5,"virginica",1.97408102602201,1.35666666666667,1.84054444444444
"111",6.5,3.2,5.1,2,"virginica",1.87180217690159,0.656666666666666,0.431211111111111
"112",6.4,2.7,5.3,1.9,"virginica",1.85629799036563,0.556666666666667,0.309877777777778
"113",6.8,3,5.5,2.1,"virginica",1.91692261218206,0.956666666666666,0.91521111111111
"114",5.7,2.5,5,2,"virginica",1.7404661748405,-0.143333333333334,0.0205444444444445
"115",5.8,2.8,5.1,2.4,"virginica",1.75785791755237,-0.0433333333333339,0.00187777777777783
"116",6.4,3.2,5.3,2.3,"virginica",1.85629799036563,0.556666666666667,0.309877777777778
"117",6.5,3,5.5,1.8,"virginica",1.87180217690159,0.656666666666666,0.431211111111111
"118",7.7,3.8,6.7,2.2,"virginica",2.04122032885964,1.85666666666667,3.44721111111111
"119",7.7,2.6,6.9,2.3,"virginica",2.04122032885964,1.85666666666667,3.44721111111111
"120",6,2.2,5,1.5,"virginica",1.79175946922805,0.156666666666666,0.0245444444444443
